City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Kindu,CD,2020-10-29 21:33:51,-2.95,25.95,68.81,96,99,1.07
274,Bathsheba,BB,2020-10-29 21:34:55,13.22,-59.52,78.8,88,40,24.16
275,Suntar,RU,2020-10-29 21:34:55,62.14,117.63,10.4,88,100,7.23
276,Milledgeville,US,2020-10-29 21:34:55,33.08,-83.23,82.0,77,30,10.42
277,Guerrero Negro,MX,2020-10-29 21:34:56,27.98,-114.06,80.19,19,48,8.63
278,Divo,CI,2020-10-29 21:34:56,5.84,-5.36,73.04,98,100,2.62
279,Svirstroy,RU,2020-10-29 21:34:56,60.8,33.72,49.05,91,100,7.7
280,Sylvan Lake,CA,2020-10-29 21:33:46,52.32,-114.09,36.63,78,85,6.49
281,Chapleau,CA,2020-10-29 21:34:56,47.84,-83.4,21.02,93,0,5.59
282,Yar-Sale,RU,2020-10-29 21:34:56,66.83,70.83,13.19,96,90,8.34
283,Algiers,DZ,2020-10-29 21:32:20,36.75,3.04,55.4,93,20,6.8
284,Kirensk,RU,2020-10-29 21:34:57,57.79,108.11,26.85,97,89,4.61
285,Cabra,ES,2020-10-29 21:34:57,37.47,-4.44,63.0,82,0,3.13
286,Bandarbeyla,SO,2020-10-29 21:33:30,9.49,50.81,78.58,82,50,10.25
287,Antalaha,MG,2020-10-29 21:34:57,-14.9,50.28,72.25,88,80,11.16
288,Zhezkazgan,KZ,2020-10-29 21:34:58,47.8,67.71,33.35,78,0,4.21
289,Laguna,US,2020-10-29 21:32:25,38.42,-121.42,78.01,23,1,3.36
290,Aguimes,ES,2020-10-29 21:34:58,27.91,-15.45,69.8,77,20,18.34
291,Vestmannaeyjar,IS,2020-10-29 21:34:58,63.44,-20.27,45.66,83,100,24.25
292,Luderitz,NA,2020-10-29 21:34:58,-26.65,15.16,59.09,71,31,26.91
293,Souillac,MU,2020-10-29 21:33:35,-20.52,57.52,69.01,64,16,8.01
294,Cabedelo,BR,2020-10-29 21:34:59,-6.98,-34.83,78.8,78,0,8.05
295,Katsuura,JP,2020-10-29 21:34:59,35.13,140.3,59.0,47,75,18.34
296,Diffa,NE,2020-10-29 21:34:59,13.32,12.61,82.2,22,30,8.75
297,Ayan,RU,2020-10-29 21:34:59,56.45,138.17,24.06,89,31,10.98
298,Emerald,AU,2020-10-29 21:35:00,-23.53,148.17,68.0,56,0,1.12
299,Vangaindrano,MG,2020-10-29 21:35:00,-23.35,47.6,69.53,83,100,8.66
300,Bilopillya,UA,2020-10-29 21:34:37,51.15,34.31,45.21,69,100,4.25
301,Ust-Nera,RU,2020-10-29 21:35:00,64.57,143.2,7.77,88,100,1.54
302,Lasa,IT,2020-10-29 21:35:01,46.62,10.7,46.0,86,40,4.7
303,Almeria,ES,2020-10-29 21:35:01,37.17,-2.33,64.99,59,0,5.82
